path	status	expected	reason
gcc/testsuite/gcc.dg/cast-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/cast-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/cast-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/cast-4.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/complex-4.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/complex-5.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/compound-literal-cast-lvalue-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/const-elim-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/darwin-sections.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/di-longlong64-sync-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/di-sync-multithread.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/div-compare-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/dll-10.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/dll-12.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/dll-7.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/fixuns-trunc-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/flex-array-counted-by-9.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/float-range-3.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/float-range-4.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/float-range-5.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/fltconst-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/fltconst-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/fltconst-double-pedantic-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/fltconst-double-pedantic-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu-cond-expr-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/gnu-cond-expr-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/gnu-cond-expr-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-const-expr-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-const-expr-2.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/gnu99-const-expr-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-const-expr-4.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-if-decls-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/gnu99-if-decls-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/gnu99-init-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/gnu99-init-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-named-loops-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/gnu99-named-loops-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-named-loops-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/gnu99-named-loops-4.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/gnu99-static-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/hex-round-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/hex-round-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/imag-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/init-bad-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/init-bad-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/init-bad-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/init-bad-7.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/init-desig-obs-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/init-desig-obs-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/init-empty-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/init-empty-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/init-empty-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/init-string-1.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/init-string-2.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/inline-10.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-11.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-12.c	imported-reject	reject	explicit C99/GNU99 frontend case after inline diagnostics
gcc/testsuite/gcc.dg/inline-13.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-14.c	imported-reject	reject	explicit C99/GNU99 frontend case after inline diagnostics
gcc/testsuite/gcc.dg/inline-15.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-16.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/inline-17.c	skipped	accept	requires GCC inline dialect/codegen behavior
gcc/testsuite/gcc.dg/inline-18.c	skipped	accept	requires GCC inline dialect/codegen behavior
gcc/testsuite/gcc.dg/inline-20.c	skipped	accept	requires GCC inline dialect/codegen behavior
gcc/testsuite/gcc.dg/inline-25.c	imported-reject	reject	explicit C99/GNU99 frontend case after inline diagnostics
gcc/testsuite/gcc.dg/inline-26.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-29.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/inline-30.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/inline-31.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-32.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/inline-32a.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-34.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-35.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-7.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-8.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/inline-9.c	imported-reject	reject	explicit C99/GNU99 frontend case after inline diagnostics
gcc/testsuite/gcc.dg/lvalue-7.c	imported-reject	reject	explicit C99/GNU99 frontend case after void-address diagnostics
gcc/testsuite/gcc.dg/missing-field-init-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/missing-field-init-2.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/multiple-overflow-warn-1.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/multiple-overflow-warn-2.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/nested-calls-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/nested-vla-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/nested-vla-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/nested-vla-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/no-asm-3.c	imported-reject	reject	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/no-asm-4.c	imported-reject	reject	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/nodfp-1.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/nofixed-point-1.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/nofixed-point-2.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/noreturn-5.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/octal-constants-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/octal-constants-2.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/octal-constants-3.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/octal-constants-4.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/overflow-2.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/overflow-warn-1.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/overflow-warn-2.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/overflow-warn-3.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/overflow-warn-4.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/overflow-warn-6.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/overflow-warn-9.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pedwarn-init.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/pr102897.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/pr104198.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr104380.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr106465.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr109450-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr109450-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr111914.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/pr112359.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr113013.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/pr11459-1.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr117391.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr15698-1.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr15698-2.c	imported-reject	reject	explicit C99/GNU99 frontend case after block-scope prototype diagnostics
gcc/testsuite/gcc.dg/pr15698-3.c	imported-reject	reject	explicit C99/GNU99 frontend case after prototype compatibility diagnostics
gcc/testsuite/gcc.dg/pr15698-4.c	imported-reject	reject	explicit C99/GNU99 frontend case after prototype compatibility diagnostics
gcc/testsuite/gcc.dg/pr15698-5.c	imported-reject	reject	explicit C99/GNU99 frontend case after block-scope prototype diagnostics
gcc/testsuite/gcc.dg/pr15698-6.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr15698-7.c	imported-reject	reject	explicit C99/GNU99 frontend case after prototype compatibility diagnostics
gcc/testsuite/gcc.dg/pr15698-8.c	imported-reject	reject	explicit C99/GNU99 frontend case after block-scope prototype diagnostics
gcc/testsuite/gcc.dg/pr15749-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr18241-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr18241-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr18502-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/pr19967.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr19984.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/pr22356-1.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr25801.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr26865.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/pr27639.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr30360.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr30457.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/pr33666.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr35334.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr35440.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr35742.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr35746.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr36997.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr37303.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr38934.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr51034.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr51821.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr52132.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr52592.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr53196-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr53196-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr54121.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr54363.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/pr56078.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr57773.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr59011.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/pr59351.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/pr60784.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr61096-1.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr67465.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr68134.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/pr69650.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr70418.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/pr71969-1.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr71969-2.c	skipped	accept	requires GCC inline dialect/codegen behavior
gcc/testsuite/gcc.dg/pr71969-3.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr79223-1.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr79223-2.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr83852.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr83962.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pr8715.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/pr88701.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/pr91734.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pragma-align-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/pragma-pack-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/qual-return-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/qual-return-2.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/qual-return-3.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/qual-return-4.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/qual-return-7.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/signbit-sa.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/simd-6.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/smod-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/spellcheck-fields-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/spellcheck-inttypes.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/spellcheck-stdbool.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/spellcheck-stdint.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/stmt-expr-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/stmt-expr-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/stmt-expr-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/stmt-expr-4.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/struct-parse-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/system-binary-constants-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/system-octal-constants-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/transparent-union-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/transparent-union-1a.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/transparent-union-2.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/typename-vla-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/typename-vla-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/typename-vla-4.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/typename-vla-5.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/typename-vla-6.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/typespec-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/ucnid-1-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-10-utf8.c	imported-accept	accept	Unicode and UCN lexer support
gcc/testsuite/gcc.dg/ucnid-10.c	imported-accept	accept	Unicode and UCN lexer support
gcc/testsuite/gcc.dg/ucnid-11-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-11.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-12-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-12.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-13-utf8.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/ucnid-13.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/ucnid-14-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-14.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-15-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-16-utf8.c	imported-accept	accept	Unicode and UCN lexer support
gcc/testsuite/gcc.dg/ucnid-2-utf8.c	skipped	accept	requires GCC target/runtime test harness
