path	status	expected	reason
gcc/testsuite/gcc.dg/ucnid-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-3-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-4-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-4.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-5-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-5.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-6-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-6.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-7-utf8.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/ucnid-7.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/ucnid-8-utf8.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/ucnid-8.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/ucnid-9-utf8.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/ucnid-9.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/union-cast-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/union-duplicate-field.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/utf-array-short-wchar.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf-array.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf-badconcat.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/utf-badconcat2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/utf-cvt.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf-inc-init.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf-type.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf16-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf16-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf16-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf16-4.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/utf32-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf32-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf32-3.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf32-4.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/utf8-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/utf8-2.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/visibility-8.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/vla-11.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/vla-12.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-13.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-14.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-15.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-16.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-18.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/vla-19.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-2.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-20.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-21.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-24.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-25.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-26.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-3.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/vla-4.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/vla-5.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/vla-6.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-7.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-8.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/vla-9.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/vla-tert-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/wtr-int-type-1.c	skipped	accept	requires GCC warning/diagnostic behavior
